id	DF	DM	SeedPerPod	PodPerPlant	SW	SeedYield
VI000020AY	43.0624999998629	69.0000000013297	10.5916666667373	13.4483333333387	4.22249999999954	6.26593750000244
VI000099AG	49.9374999998629	73.6875000013232	9.57500000007393	16.8126880168171	3.20999999999868	8.65567187500267
VI000105BG	41.4374999998629	69.0000000013232	10.8000000000739	23.1083333333329	3.59499999999868	9.87395833312767
VI000164BG	43.5624999998629	69.7500000013232	8.63333333340726	15.0416666666663	3.81999999999868	6.33382105680408
VI000170B-BR	40.0624999998629	68.3750000013232	8.30000000007393	24.3533333333329	3.79999999999868	9.12380208325268
VI000175BY	38.9999999998629	65.9375000013232	9.94166666674059	21.1499999999996	4.15499999999868	8.21104166687767
VI000188A-BLM	37.4999999998629	67.8125000013232	9.88333333340726	39.2166666666663	2.91499999999868	8.62543750000268
VI000203B-BR	46.6874999998629	71.5228241492385	8.14978200852585	16.2126880168171	2.53749999999868	5.90854166675268
VI000212A-BLM	46.7499999998629	67.6875000013232	10.5388888900739	9.78333333333292	3.18249999999868	4.17583333325267
VI000232AG	40.0624999998629	67.1250000013232	9.7166666667406	21.8999999999996	4.74999999999868	8.54895833312767
VI000238AG	41.5624999998629	67.6894908159052	9.58333333340726	18.9666666666663	3.20499999999868	7.08562500000267
VI000253AG	41.2499999998629	67.7500000013232	9.58333333340726	26.8333333333329	3.58499999999868	7.74351562500268
VI000316AG	43.6249999998629	69.8750000013232	10.6333333334073	20.2833333333329	3.77499999999868	7.27937500000267
VI000317BG	43.7499999998629	67.2500000013232	10.3833333334073	26.6416666666663	3.21999999999868	7.80783333333601
VI000319AG	42.8749999998629	66.3750000013232	9.7416666667406	33.6999999999996	3.67999999999868	8.26812500000267
VI000380AG	41.3749999998629	71.0000000013232	10.2166666667406	13.2749999999996	5.14999999999868	9.14945312500267
VI000461BG	45.2499999998629	68.3750000013232	10.2750000000739	24.9249999999996	3.40499999999868	10.5725000000027
VI000470AG	43.0624999998629	69.1875000013232	9.32500000007393	15.5999999999996	5.39999999999868	8.78625000000267
VI000532BG	40.7499999998629	68.1250000013232	10.0833333334073	32.7083333333329	2.91499999999868	10.249583333336
VI000537BG	44.5624999998629	69.6250000013232	8.84722222240726	29.2416666666662	2.69999999999868	9.59072916666934
VI000542BY	46.5624999998629	72.0000000013232	9.57500000007393	15.8749999999996	2.65749999999868	6.90322916750267
VI000551AG	43.7499999998629	68.6250000013232	10.0833333334073	33.2749999999996	2.76999999999868	8.98263020833601
VI000554AG	43.9374999998629	66.8125000013232	10.0750000000739	35.3916666666663	3.72499999999868	9.82437500000267
VI000559AG	42.3749999998629	69.1875000013232	10.3000000000739	34.3999999999996	3.07499999999868	10.2530208331277
VI000578AG	48.9999999998629	70.3750000013232	10.2250000000739	26.8916666666663	2.38999999999868	6.21156250000267
VI000589B-BR	40.6249999998629	68.0000000013232	9.60833333340726	19.2833333333329	3.42499999999868	6.48114583312767
VI000616BG	44.5624999998629	67.2500000013232	9.78311534202585	26.9376880168171	3.14499999999868	7.58156250000268
VI000618AG	38.5624999998629	68.3541666679899	9.65833333340726	33.2749999999996	2.90499999999868	9.23979166750267
VI000625B-BR	39.3124999998629	67.0625000013232	10.7416666667406	20.3749999999996	2.66499999999868	6.31473958333601
VI000680AG	39.9374999998629	67.2500000013232	9.71666666674059	23.7083333333329	3.08999999999868	8.69231770833601
VI000723AG	39.3749999998629	67.4375000013232	10.2500000000739	27.9166666666663	2.66499999999868	9.10828125000267
VI000732AG	43.2499999998629	70.0000000013232	10.4083333334073	19.7749999999996	4.19499999999868	7.74291666666934
VI000735BG	40.2499999998629	67.5625000013232	10.7750000000739	28.6499999999996	5.14499999999868	8.98500000000267
VI000736AG	40.9374999998629	70.6875000013232	9.41666666674059	20.1999999999996	4.59999999999868	8.70231250000267
VI000749AG	46.6249999998629	72.5000000013232	10.8027777767406	24.8133333333329	3.02749999999868	8.23729166687767
VI000764AG	45.8749999998629	72.6250000013232	10.1916666667406	13.8249999999996	3.68999999999868	6.10381250000268
VI000766BG	40.7499999998629	66.8750000013232	10.2500000000739	26.5166666666663	3.33999999999868	8.47523437500267
VI000805BG	39.6874999998629	67.5625000013232	10.3833333334073	26.9166666666663	4.44499999999868	9.29083333333601
VI000815BG	40.1249999998629	69.1250000013232	9.66388889007393	26.7833333333329	3.65499999999868	13.375286458336
VI000818BG	39.6874999998629	66.3125000013232	8.94444444440726	17.2749999999996	3.67999999999868	7.75520833416934
VI000852AG	42.3124999998629	70.4166666679899	10.2666666667406	31.4749999999996	4.21499999999868	11.5406250000027
VI000938AG	39.1874999998629	68.1875000013232	10.5833333334073	25.9416666666663	2.17999999999868	9.39750000000268
VI000942AG	40.6874999998629	70.6875000013232	10.5833333334073	26.0583333333329	4.16999999999868	9.47718750000267
VI000953AG	41.8124999998629	70.4375000013232	9.88611111007393	11.4749999999996	4.37499999999868	6.16958333250268
VI000981BG	39.4374999998629	67.9375000013232	9.27500000007393	18.5666666666663	3.26999999999868	8.58919270825267
VI001023BG	40.2499999998629	69.5625000013232	10.5250000000739	23.0083333333329	5.12999999999868	7.61187500000268
VI001066BG	46.0624999998629	71.7500000013232	10.2750000000739	12.9166666666662	3.84749999999868	6.25406250000267
VI001096AG	43.9999999998629	69.3125000013232	10.3833333334073	16.2916666666663	5.80999999999868	8.63986979250267
VI001124AG	41.3124999998629	70.5000000013232	9.52500000007393	14.8166666666662	5.79999999999868	12.0215625000027
VI001126BG	46.2708333331962	69.5000000013232	9.28333333340726	9.73333333333292	4.46499999999868	7.86750000000267
VI001162AG	46.6249999998629	72.2450463714608	10.2247820070258	12.4251880168171	2.19499999999868	4.24208333325267
VI001191BG	41.8124999998629	67.6250000013232	10.8250000000739	19.7333333333329	4.87999999999868	8.97562500000267
VI001211AG	44.4999999998629	69.4375000013232	10.3000000000739	20.4833333333329	3.92499999999868	8.92000000000267
VI001221AG	41.1056399764845	67.466288527005	10.8833333334073	15.9814793350396	6.19017693929412	8.27594859366749
VI001244AG	40.8749999998629	69.9375000013232	9.32500000007393	13.7749999999996	5.02749999999868	7.24598958354434
VI001268BG	40.6874999998629	69.5625000013232	9.65833333340726	31.3749999999996	2.03499999999868	7.88489583416934
VI001282AG	41.4374999998629	67.8125000013232	10.0500000000739	40.8916666666663	3.01499999999868	11.2798125000027
VI001284AG	39.4374999998629	68.5000000013232	9.91666666674059	32.5666666666663	3.27999999999868	9.04885416687767
VI001339AG	42.9374999998629	69.6250000013232	11.2000000000739	19.8583333333329	6.16499999999868	11.2984375000027
VI001385AG	46.8556399764845	73.3829551936716	10.6666666667406	37.0689793350396	5.19017693929412	9.77432359366748
VI001400AG	45.0624999998629	72.3750000013232	11.3277777767406	16.7516666666663	4.11999999999868	9.73906250000267
VI001403BR	45.8749999998629	71.3125000013232	10.6333333334073	13.9249999999996	2.99749999999868	5.02184189013741
VI001406BG	42.6249999998629	69.8750000013232	10.0250000000739	30.9916666666663	2.81499999999868	9.49270833333601
VI001408BG	37.9999999998629	67.8750000013232	9.40833333340726	29.1749999999996	3.73499999999868	10.3396250000027
VI001411AG	49.9389733098179	72.3829551936716	9.77500000007393	38.3564793350395	2.19017693929412	8.94567081588971
VI001412AG	42.3124999998629	69.8750000013232	10.7250000000739	32.4083333333329	3.51499999999868	10.1115625000027
VI001419BG	45.5624999998629	73.6458333346565	9.63611111007393	37.4749999999996	2.79999999999868	10.4416458341693
VI001435AG	41.7499999998629	71.5000000013232	10.6666666667406	24.6133333333329	3.23499999999868	8.43812500000267
VI001448A-BLM	45.5624999998629	70.8125000013232	9.35833333340726	20.0083333333329	3.22999999999868	9.14687500000267
VI001471AG	38.9999999998629	66.8125000013232	9.77500000007393	27.5916666666663	3.05999999999868	7.16125000000267
VI001482BG	40.3749999998629	71.1250000013232	10.2166666667406	35.5083333333329	3.49999999999868	9.26757812500267
VI001490AG	38.8749999998629	69.5625000013232	11.0000000000739	41.9751880168171	2.81499999999868	10.279739583336
VI001509AG	42.9999999998629	69.9375000013232	10.1333333334073	24.5499999999996	2.96249999999868	6.08656250000267
VI001514AG	44.9374999998629	71.0000000013232	10.3333333334073	34.0083333333329	2.57999999999868	8.88187500000267
VI001520A-BLM	44.8749999998629	67.2500000013232	9.60555555674059	18.1499999999996	2.95999999999868	7.68000000083601
VI001533BG	51.0624999998629	75.1250000013232	10.4581153420258	17.9626880168171	2.37499999999868	7.01937500000267
VI001535BG	44.1874999998629	69.7500000013232	10.3583333334073	24.1749999999996	3.68999999999868	8.05654166666934
VI001539AG	47.1249999998629	71.7500000013232	9.54722222340726	26.9583333333329	3.02999999999868	6.79645833312768
VI001548AG	46.4999999998629	71.5625000013232	10.1666666667406	28.3333333333329	3.28499999999868	7.94781250000267
VI001556BG	44.5624999998629	66.2500000013232	8.43333333340726	7.26666666666625	2.34999999999868	2.75715439013741
VI001557BG	43.1249999998629	68.7500000013232	10.2750000000739	31.3833333333329	3.47499999999868	9.40947916687767
VI001562AG	44.4999999998629	70.6875000013232	10.0250000000739	24.3799999999996	2.69499999999868	9.94679687437767
VI001576BG	41.9374999998629	67.6250000013232	10.3333333334073	21.9999999999996	2.88499999999868	8.55739583312767
VI001579BG	43.6874999998629	68.4375000013232	10.3000000000739	27.1333333333329	3.42999999999868	12.1493750000027
VI001605BG	41.8749999998629	68.9375000013232	10.1416666667406	23.4749999999996	3.55749999999868	8.03156250000267
